"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YDR461W",88.870924140572,-1.10920290174449,0.161134268700917,6.51057545338163e-13,3.62360028091069e-11
"YBR068C",608.317080802082,-0.740050565903726,0.106217145911592,6.81829396946079e-13,3.75906697712536e-11
"YOR212W",205.553808618147,-0.74938737248669,0.108130812709147,8.81814135831561e-13,4.81618860728939e-11
"YFL026W",299.359672525138,-0.890708171117883,0.129342694944427,9.2659950835989e-13,5.01393289523629e-11
"YGR087C",16.9338731799018,2.43679399714504,0.356339206475899,1.04424150734315e-12,5.59866731092967e-11
"YOR227W",241.644441430147,0.96068808643365,0.140389366269551,1.07101805763607e-12,5.69002684438651e-11
"YCL025C",233.603343639493,-1.89147074782586,0.281996380591705,1.19934457343355e-12,6.31438710553665e-11
"YLL053C",16.11151489043,-2.25162519950377,0.334130392301071,1.29904338166627e-12,6.77822278790866e-11
"YMR280C",90.9435827689421,1.14337323734854,0.168995877503269,1.33400913927427e-12,6.89907027426447e-11
"YKL009W",156.643691411822,-1.42707557138084,0.21353414303284,1.97941911325384e-12,1.01471274542592e-10
"YMR056C",72.3415946589866,1.87720271926716,0.283997287322803,2.32610732254611e-12,1.17395117303917e-10
"YPR015C",24.5685766173938,1.81893272565145,0.271987471933819,2.33022477879095e-12,1.17395117303917e-10
"YCR057C",97.8253182045791,-1.61985454544382,0.24422800876334,2.40837785777496e-12,1.20295386331939e-10
"YDR345C",4208.68967537494,-1.29490557382701,0.194893257707604,2.76684597033141e-12,1.37029219073023e-10
"YHR052W",75.437679826306,-1.71052294947786,0.259254397118236,3.0015190209537e-12,1.47402329062634e-10
"YJL200C",86.2204010565411,-1.3361459029164,0.203359650019781,4.7440370796005e-12,2.31034605776544e-10
"YJR148W",270.001653089253,-1.29231058306446,0.197284922507486,5.02333655282883e-12,2.41587186237736e-10
"YPR064W",11.3203668136831,3.20824901619383,0.480082551119026,5.04340121851536e-12,2.41587186237736e-10
"YLL052C",10.1629323368122,-3.01897992308891,0.458215686161825,6.29026933424697e-12,2.9645430636564e-10
"YPR160W",319.774818924247,-2.13441361890016,0.330793680044046,6.28988922076905e-12,2.9645430636564e-10
"YPL061W",2095.3591051022,-1.45857201487404,0.225877565978267,8.40884667299924e-12,3.93130399656061e-10
"YMR015C",78.518089798576,-1.3731865259548,0.212389545483034,8.57662933258673e-12,3.97792236663784e-10
"YLR346C",12.0089603894146,-2.70544572865091,0.417749943952337,9.1427256557568e-12,4.207093600964e-10
"YML035C",132.213230128043,-0.777394154451771,0.118272496233116,9.25997225865694e-12,4.22775608434306e-10
"YOR340C",72.2052930674416,-1.32512047205363,0.205057716627631,1.05405292534114e-11,4.77510488038267e-10
"YLR276C",160.140760239782,-1.19087217552535,0.184364796094322,1.12940506796116e-11,5.07711016705001e-10
"YDL014W",896.889891350429,-0.874895182745653,0.135633356557227,1.16756829242726e-11,5.20860236713353e-10
"YER053C",221.781747598841,-1.33917247627267,0.209339272481786,1.30533979067017e-11,5.77909525505793e-10
"YPL222W",57.5343111079107,1.16937063250656,0.182285608420732,1.42380015018395e-11,6.2561564493797e-10
"YOR328W",69.8898374641599,1.05405976219296,0.166108089897893,2.43164863480751e-11,1.06048915088172e-09
"YOR095C",108.628054517541,-1.24904279020178,0.197727927237973,2.64313262293143e-11,1.14418274432676e-09
"YMR173W",43.8395450721712,-1.43270099970974,0.228902686515684,3.08704923654786e-11,1.32652321605777e-09
"YOR092W",75.0180778881259,-1.10567735872844,0.175173710909778,3.14115605276512e-11,1.33992087389484e-09
"YBR142W",57.9451793988215,-1.37356734025564,0.218402542462045,3.28052792501199e-11,1.38923226041812e-09
"YPL245W",85.2170188231839,-1.02856372870289,0.163044849460456,3.46306581756284e-11,1.45598249193074e-09
"YGL255W",141.036824835242,-1.58557659371061,0.2555896572204,3.79144214158251e-11,1.58265627681487e-09
"YHL035C",125.340060958625,-0.783344930359346,0.123978946742252,5.10443200654088e-11,2.11562415930673e-09
"YGR159C",635.191893567922,-1.38312466632295,0.223966281603765,5.45391475867453e-11,2.24455477814746e-09
"YDR089W",59.9481336759579,-1.47068236196185,0.239498466085463,6.25024191898029e-11,2.55429466954691e-09
"YCR072C",25.3511334004575,-1.98219365444577,0.324739281603208,8.3991854757812e-11,3.38516137382519e-09
"YHR066W",34.6588238937974,-1.79719362764358,0.293685800066821,8.34921779708618e-11,3.38516137382519e-09
"YJR150C",9.67549552522574,-3.17238338746522,0.514443292983568,8.78232723334533e-11,3.51533701038836e-09
"YHR110W",123.365799970659,0.801461150800653,0.129059378143385,9.29806080089149e-11,3.69645355921155e-09
"YHL048W",62.3235865944686,1.04038428232183,0.168671183268817,9.97617284977036e-11,3.93924014419311e-09
"YOL052C-A",36.0088069433104,-2.01121321874938,0.333818152044072,1.00964934826334e-10,3.95999381963152e-09
"YBL044W",11.7188225326132,3.58100897023044,0.585543262387091,1.0434360820264e-10,4.06522697557487e-09
"YCR024C-A",212.779017832868,-1.20794095908006,0.198247687077988,1.10904826244869e-10,4.29223711639083e-09
"YDR101C",62.4602745890774,-1.54630566920825,0.25571842903213,1.21635633442601e-10,4.67657001209579e-09
"YGR281W",190.117056683615,-0.723845338127188,0.116959902342237,1.30011831670363e-10,4.96594211948757e-09
"YGR067C",34.5046126625019,1.86324486320728,0.311219591431548,1.4337579656192e-10,5.44083217602507e-09
"YMR120C",258.73238369975,-2.07981604975297,0.349366224196675,1.46875882004846e-10,5.53769454475045e-09
"YOR100C",15.6270319327874,2.33241822161787,0.391436831364057,1.62318883312831e-10,6.08071509025759e-09
"YDR496C",98.0252450441315,-1.42196833290334,0.236361820998954,1.64109116190203e-10,6.10862213385697e-09
"YDR361C",75.4084544607193,-1.20896989949995,0.201178006520951,1.84157264491472e-10,6.76864813640355e-09
"YOL155C",288.771943405131,-1.83581705620686,0.309321806892043,1.83976035006762e-10,6.76864813640355e-09
"YDL022W",541.581356275914,-1.08716732280136,0.180538135891581,1.89993458358342e-10,6.93951106653843e-09
"YGR153W",22.3642949326518,1.65004045620401,0.274550292555872,1.93997889671732e-10,7.04176190833295e-09
"YKL078W",22.5212901691728,-2.23520917576064,0.377076694170403,2.16447387894896e-10,7.80813910406032e-09
"YHR197W",48.661513759952,-1.69206014468839,0.284931468556826,2.18191161982875e-10,7.82275552532466e-09
"YGL171W",37.9261465804384,-1.73049882586404,0.291982881840213,2.28067265822003e-10,8.12698232599869e-09
"YPL232W",394.879109754517,0.750569043346589,0.123627116526919,2.60940846729432e-10,9.24205035325332e-09
"YLR080W",42.5073095563709,1.23841536059151,0.208718183052743,2.66319645158878e-10,9.37573497776196e-09
"YOR383C",3841.23641357034,1.11266045675061,0.186603085844008,2.69960966070538e-10,9.44701727973787e-09
"YLR417W",104.782426202846,0.800300915707685,0.132878775970363,3.27719043431908e-10,1.13999410108099e-08
"YDR119W-A",16.162181238313,-2.48400561872293,0.427144292607717,3.42534307065899e-10,1.18447958017344e-08
"YBL039C",107.755367052718,-1.46336237859596,0.250257171751254,4.0093551774463e-10,1.37723714803982e-08
"YGR157W",173.548759775285,-0.915487506826375,0.154168369852536,4.0299033592541e-10,1.37723714803982e-08
"YLL060C",70.0768533663398,1.17092339085023,0.199769837132064,4.45288828288381e-10,1.51294646076587e-08
"YGR096W",50.9130803472342,1.16487699020231,0.19930462033459,4.67413591714796e-10,1.57893932368859e-08
"YJR070C",251.086501457715,-1.14722302462215,0.195444820018774,4.73178978377961e-10,1.58922870669012e-08
"YIL011W",56.8739282634748,-1.40489338619968,0.240733009169211,4.84989930972875e-10,1.61958923234599e-08
"YDL227C",16.810931903087,-2.01663036259629,0.347652249184089,5.06666289431485e-10,1.67378215970669e-08
"YKR039W",135.085738547495,1.68337962908365,0.291538339862673,5.06946342005619e-10,1.67378215970669e-08
"YJL016W",73.2164529402592,-1.01317886023007,0.172405616274061,5.36970802348306e-10,1.76295357804691e-08
"YHR170W",222.002015953639,-0.883432594295842,0.149699244457384,5.7831193591705e-10,1.88807539301633e-08
"YLR399C",207.040575961339,-0.626821519041332,0.104806832555024,5.92751180304544e-10,1.92446549872209e-08
"YBR034C",174.252826946375,-1.41179926540676,0.245112100093132,6.69252972614894e-10,2.16083666959196e-08
"YBR267W",28.0449252767749,-1.59571265445411,0.276530726509948,6.89468356483197e-10,2.2138753160922e-08
"YHR089C",458.338264368539,-0.810547274897384,0.137670328038394,7.03246847308438e-10,2.24577845665055e-08
"YLR350W",690.018567085865,0.98783113370895,0.170469994555584,8.93789983960911e-10,2.83875470992802e-08
"YMR215W",186.454909863838,-0.636187276292058,0.10767289568521,9.66929851145178e-10,3.05445300004996e-08
"YML075C",214.831757573739,-0.773107719245534,0.132216539592315,9.72674400249731e-10,3.05608021239754e-08
"YKL037W",30.4373906040664,1.57563815648384,0.279232911356851,1.06946211179985e-09,3.34221207559267e-08
"YDR019C",75.7422153145605,-2.04392316035579,0.36437059015817,1.10939854275752e-09,3.4485771722739e-08
"YOL020W",156.191216863934,-0.925251454740498,0.160549713769888,1.12786347349157e-09,3.4874254704152e-08
